comment,author,date,num_likes
영상 광고중에 카메라 브라켓 관련 광고 링크좀 부탁드립니다 찾기가 힘드네요,바람돌이 현,2022-01-17T13:12:44Z,0
저도 똑같은 생각했는데 ㅋㅋㅋ LG 디자이너가 롯데타워 보고 영감받아서 디자인했냐곸 ㅋㅋㅋ,KOOLOUD,2022-01-16T17:02:21Z,2
1+1행사 뭔데 ㅋㅋ,개죽이,2022-01-16T14:11:18Z,0
Lg퓨리타워 씽큐,Ju woo,2022-01-15T17:56:00Z,0
와 지금도 1+1 하나요..?,동그리그,2022-01-15T09:01:48Z,0
카펫위에 신발...저런공간이겠지만 계속 눈이가네요ㅋㅋ,Delpi,2022-01-15T08:48:16Z,0
LG 퓨리케어 롯데월드타워 시그니엘 오브제 컬렉션,캐부,2022-01-15T08:44:49Z,0
집에 잠실 롯데월드 타워 하나 냅두는데 90만원이면 싼거지 ㄹㅇㅋㅋ,캐부,2022-01-15T08:44:21Z,0
몬가 협찬인줄 알았는데 내돈내산이였네<br>두목님 백색가전 욕심도 있을줄이야 ㅋㅋㅋ,윤바제,2022-01-15T07:57:24Z,0
LG하고 원한이 있으신것도 아니고.. 말 같지도 않은 비유를.. 말이라고 떠드는 인간들이 많네...<br>저게 가격거품이 심하다는 둥.. 남겨 먹는 게 많아서 주는 것도 당연하다는 둥... <br>그렇게 따지면 안 비싼 제품이 어디있어요? 삼성 85인치 티비 UHD가 2백만원대 입니다.. 그 티비 다 뜯어서 부품 원가 따지면 얼마나 할까요? <br>LG에서 오브제컬렉션이면 자기들이 고급브랜드 이미지로 밀고 있는 라인업인데도.. 사은품으로 제공 한 건데.. 뭐 이리 거지근성들이 많은지...<br>예전에 아이폰이 원가로 따지면 얼마 안하는데 비싸게 팔아 먹는다고 했던 인간들이 아직도 안 죽고 살아있다는 게 참 신기하네요,Camino,2022-01-15T07:46:43Z,0
가은데 비어있어서 그런가 독립기념관 탑 생각남,ㅡㅡㅡ,2022-01-15T06:01:47Z,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,하루종일배고파,2022-01-15T04:51:14Z,0
남자 아니랄까 봐 웰케 신이 나있음???.. 저 세상 텐션이네~~ㅋㅋㅋㅋㅋ,광야,2022-01-15T04:23:52Z,0
롯데타워아니죠! 사우론타워? 맞습니다!,Jiho Kim,2022-01-15T01:45:49Z,0
노잼,박찬하,2022-01-15T01:35:09Z,0
lg 시그니엘인가ㅋㅋㅋ,이지훈,2022-01-14T21:48:15Z,0
